Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	106.659	71.039	
0.033	105.067	69.249	
0.067	102.679	67.060	
0.100	99.893	64.473	
0.133	96.311	61.289	
0.167	92.331	57.508	
0.200	87.755	53.329	
0.233	82.780	48.554	
0.267	77.208	43.380	
0.300	71.039	37.609	
0.333	64.075	31.042	
0.367	56.911	24.078	
0.400	48.355	16.715	
0.433	38.405	12.934	
0.467	30.644	17.113	
0.500	27.063	23.680	
0.533	27.859	29.848	
0.567	30.644	34.624	
0.600	34.425	37.410	
0.633	39.002	38.803	
0.667	43.181	38.604	
0.700	47.360	36.813	
0.733	51.140	32.833	
0.767	53.130	27.262	
0.800	51.737	20.297	
0.833	46.564	15.123	
0.867	39.400	13.730	
0.900	32.236	14.327	
0.933	24.675	14.327	
0.967	17.511	14.924	
