Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	101.684	76.213	
0.033	100.291	74.422	
0.066	98.301	72.432	
0.100	95.913	69.448	
0.133	92.729	66.264	
0.166	89.148	62.085	
0.200	85.168	57.707	
0.233	80.392	52.334	
0.266	75.218	46.365	
0.300	69.050	39.798	
0.333	62.682	32.236	
0.366	55.319	24.277	
0.400	46.763	15.720	
0.433	36.415	13.133	
0.466	29.053	18.506	
0.500	27.063	26.068	
0.533	28.854	31.639	
0.566	33.032	36.017	
0.600	38.206	37.808	
0.633	42.783	37.211	
0.666	48.355	34.624	
0.700	53.727	28.456	
0.733	51.737	21.889	
0.766	47.161	15.521	
0.800	39.400	13.332	
0.833	31.838	13.531	
0.866	23.083	12.536	
