Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	105.465	70.442	
0.033	103.674	68.055	
0.066	101.087	65.667	
0.100	97.704	62.682	
0.133	94.122	59.100	
0.166	89.744	54.921	
0.200	85.168	50.543	
0.233	79.596	45.569	
0.266	73.626	40.395	
0.300	67.060	34.027	
0.333	59.896	27.660	
0.366	52.135	20.098	
0.400	42.982	13.929	
0.433	33.629	15.322	
0.466	28.456	21.292	
0.500	27.660	27.660	
0.533	30.047	33.231	
0.566	33.828	36.813	
0.600	38.405	38.405	
0.633	43.380	38.405	
0.666	47.758	36.216	
0.700	51.737	31.838	
0.733	52.931	25.670	
0.766	50.543	18.705	
0.800	44.176	14.526	
0.833	36.614	14.128	
0.866	29.252	14.725	
0.900	21.491	14.924	
