Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	106.261	70.840	
0.034	104.470	68.851	
0.067	102.082	66.861	
0.100	99.296	64.075	
0.134	95.714	60.891	
0.167	92.132	57.110	
0.200	87.357	52.732	
0.234	82.183	48.156	
0.267	76.213	42.584	
0.300	70.243	36.813	
0.334	63.279	30.445	
0.367	55.717	23.481	
0.400	47.360	16.118	
0.434	37.410	13.730	
0.467	30.246	18.506	
0.500	27.859	25.670	
0.534	29.451	31.639	
0.567	32.634	35.818	
0.600	36.614	38.007	
0.634	41.390	38.604	
0.667	46.166	37.609	
0.700	50.742	34.226	
0.734	52.931	28.655	
0.767	52.334	21.889	
0.800	47.758	15.919	
0.834	40.594	14.128	
0.867	33.032	14.526	
0.900	25.272	14.725	
0.934	18.108	15.322	
