Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	107.455	71.636	
0.033	105.664	69.845	
0.066	103.475	68.055	
0.100	101.087	65.667	
0.133	97.903	62.682	
0.166	94.122	59.299	
0.200	89.943	55.120	
0.233	85.168	50.742	
0.266	79.596	45.768	
0.300	73.626	39.997	
0.333	67.259	33.828	
0.366	59.896	27.262	
0.400	52.135	19.700	
0.433	42.982	13.531	
0.466	33.430	14.725	
0.500	27.859	20.695	
0.533	27.063	27.262	
0.566	29.252	32.833	
0.600	32.634	36.614	
0.633	36.614	38.206	
0.666	40.992	38.803	
0.700	45.171	37.808	
0.733	49.151	35.022	
0.766	52.334	30.246	
0.800	52.732	24.078	
0.833	49.747	17.511	
0.866	43.181	13.929	
0.900	36.017	13.929	
