Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	107.654	70.044	
0.033	106.261	68.851	
0.067	105.067	67.060	
0.100	102.082	65.269	
0.133	99.097	63.080	
0.167	95.913	60.692	
0.200	92.132	57.508	
0.233	87.954	53.926	
0.267	82.979	50.344	
0.300	77.606	46.166	
0.333	71.636	41.390	
0.367	65.269	36.216	
0.400	58.304	30.843	
0.433	50.543	24.874	
0.467	41.987	18.108	
0.500	32.435	13.730	
0.533	23.879	16.914	
0.567	20.098	23.282	
0.600	20.098	29.451	
0.633	22.685	34.226	
0.667	26.267	37.012	
0.700	31.440	38.604	
0.733	35.022	38.604	
0.767	39.201	37.211	
0.800	42.982	33.828	
0.833	45.171	28.456	
0.867	44.375	21.889	
0.900	39.798	16.317	
0.933	32.833	14.327	
0.967	25.670	15.123	
1.000	18.506	16.118	
1.033	11.939	17.113	
