Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	106.460	71.238	
0.034	104.868	69.448	
0.067	102.281	67.259	
0.100	99.296	64.274	
0.134	95.913	61.090	
0.167	91.933	57.309	
0.200	87.158	52.931	
0.234	82.183	48.156	
0.267	76.213	42.783	
0.300	69.845	36.813	
0.334	62.881	30.047	
0.367	55.518	23.083	
0.400	46.763	15.720	
0.434	37.012	14.128	
0.467	30.246	18.904	
0.500	28.058	25.869	
0.534	29.252	31.838	
0.567	32.634	35.818	
0.600	37.012	38.007	
0.634	41.788	38.405	
0.667	46.564	37.410	
0.700	50.742	33.828	
0.734	53.130	28.257	
0.767	52.135	21.093	
0.800	46.962	15.521	
0.834	39.599	14.128	
0.867	32.236	14.725	
0.900	24.277	14.924	
0.934	17.312	15.521	
