Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	100.689	76.014	
0.034	99.296	74.024	
0.067	96.908	71.437	
0.100	93.724	68.254	
0.134	90.540	64.473	
0.167	86.760	60.095	
0.200	82.183	54.921	
0.234	76.810	49.350	
0.267	71.238	42.783	
0.300	64.871	35.619	
0.334	58.105	27.660	
0.367	49.946	18.705	
0.400	39.798	12.934	
0.434	31.042	16.118	
0.467	26.864	23.282	
0.500	27.660	30.047	
0.534	31.241	35.022	
0.567	36.017	37.410	
0.600	41.589	38.007	
0.634	46.763	36.017	
0.667	50.742	31.440	
0.700	52.135	24.675	
0.734	49.350	17.511	
0.767	42.186	13.730	
0.800	34.226	13.133	
0.834	25.869	12.934	
0.867	17.909	12.536	
