Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	106.858	70.442	
0.033	105.664	69.050	
0.067	103.674	67.259	
0.100	100.888	65.269	
0.133	97.903	62.881	
0.167	94.520	60.095	
0.200	90.540	56.911	
0.233	85.765	53.130	
0.267	80.790	49.151	
0.300	75.019	44.773	
0.333	68.851	39.798	
0.367	62.284	34.226	
0.400	54.722	28.456	
0.433	47.161	22.088	
0.467	38.206	15.720	
0.500	28.456	14.327	
0.533	21.690	19.501	
0.567	19.501	26.068	
0.600	21.093	31.838	
0.633	24.277	35.818	
0.667	28.257	38.206	
0.700	32.634	39.002	
0.733	36.614	38.405	
0.767	40.793	36.017	
0.800	44.176	32.037	
0.833	45.370	26.068	
0.867	42.982	19.302	
0.900	37.211	14.924	
0.933	30.047	14.725	
0.967	23.481	15.919	
1.000	16.118	16.516	
