Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	101.485	76.213	
0.033	99.893	74.223	
0.066	97.903	71.835	
0.100	95.117	68.851	
0.133	91.933	65.269	
0.166	88.153	61.090	
0.200	83.775	56.115	
0.233	78.999	50.742	
0.266	73.626	44.574	
0.300	67.458	37.609	
0.333	60.692	30.047	
0.366	53.130	21.491	
0.400	44.176	13.531	
0.433	33.828	13.531	
0.466	27.461	19.501	
0.500	26.267	26.665	
0.533	28.655	32.435	
0.566	32.435	36.017	
0.600	37.211	38.007	
0.633	41.987	38.007	
0.666	46.962	35.818	
0.700	50.941	31.440	
0.733	52.334	25.272	
0.766	49.946	18.108	
0.800	43.579	13.531	
0.833	35.818	12.934	
0.866	27.859	12.536	
0.900	20.098	12.337	
