Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	102.082	74.820	
0.033	99.893	73.029	
0.066	97.704	70.840	
0.100	95.117	67.657	
0.133	92.132	64.274	
0.166	88.153	60.493	
0.200	83.974	55.717	
0.233	78.999	50.344	
0.266	73.427	44.375	
0.300	67.657	37.410	
0.333	60.891	30.246	
0.366	53.528	22.088	
0.400	44.773	13.929	
0.433	34.226	13.332	
0.466	27.660	19.103	
0.500	26.068	26.267	
0.533	28.257	32.037	
0.566	32.037	35.818	
0.600	36.813	38.007	
0.633	41.589	38.007	
0.666	46.564	36.017	
0.700	50.543	32.037	
0.733	52.334	26.068	
0.766	50.344	18.705	
0.800	44.375	13.929	
0.833	36.614	12.934	
0.866	28.655	12.536	
0.900	21.093	12.337	
