Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	105.465	68.851	
0.034	103.475	67.060	
0.067	100.490	64.871	
0.100	97.505	62.483	
0.134	93.923	59.498	
0.167	89.545	56.115	
0.200	84.770	52.334	
0.234	79.795	48.156	
0.267	73.825	43.579	
0.300	67.657	38.604	
0.334	60.692	33.231	
0.367	53.329	27.262	
0.400	45.171	20.695	
0.434	36.017	14.725	
0.467	26.466	15.123	
0.500	20.894	20.894	
0.534	19.899	27.461	
0.567	21.491	33.032	
0.600	25.073	36.415	
0.634	29.053	38.405	
0.667	33.629	39.002	
0.700	37.808	38.007	
0.734	41.987	35.022	
0.767	44.773	30.246	
0.800	44.972	24.078	
0.834	41.788	17.710	
0.867	35.221	14.526	
0.900	28.058	14.924	
