Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	100.092	75.218	
0.033	98.301	73.228	
0.067	95.913	70.044	
0.100	92.729	66.861	
0.133	89.545	63.080	
0.167	85.566	58.304	
0.200	80.790	53.130	
0.233	75.417	47.161	
0.267	69.646	40.594	
0.300	63.080	33.231	
0.333	55.916	25.272	
0.367	47.957	16.516	
0.400	37.410	12.934	
0.433	29.451	17.511	
0.467	26.665	24.874	
0.500	28.257	31.241	
0.533	32.037	35.619	
0.567	37.211	37.808	
0.600	42.385	37.609	
0.633	47.559	35.221	
0.667	51.339	30.246	
0.700	51.936	23.083	
0.733	47.957	16.516	
0.767	40.594	13.730	
0.800	32.634	13.332	
0.833	24.277	12.735	
