Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	101.087	64.871	
0.033	99.495	63.677	
0.067	97.505	62.085	
0.100	96.112	60.294	
0.133	92.530	57.508	
0.167	88.949	55.319	
0.200	85.168	52.334	
0.233	80.790	48.753	
0.267	75.616	44.972	
0.300	70.442	40.594	
0.333	64.473	36.017	
0.367	58.105	30.843	
0.400	50.941	25.670	
0.433	43.181	19.501	
0.467	34.226	14.526	
0.500	25.471	16.118	
0.533	20.894	21.690	
0.567	20.098	27.859	
0.600	22.088	32.833	
0.633	25.272	36.216	
0.667	29.053	38.007	
0.700	33.231	38.604	
0.733	37.211	37.410	
0.767	41.191	35.420	
0.800	44.176	31.241	
0.833	44.773	25.272	
0.867	42.385	18.904	
0.900	36.216	14.924	
0.933	29.053	15.123	
0.967	23.083	16.317	
1.000	15.123	16.914	
