Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	100.490	65.070	
0.033	98.699	63.478	
0.067	96.510	62.085	
0.100	93.923	59.498	
0.133	90.739	57.508	
0.167	87.158	54.324	
0.200	82.979	51.140	
0.233	78.402	47.360	
0.267	73.228	43.380	
0.300	67.657	39.002	
0.333	61.289	34.027	
0.367	54.324	28.456	
0.400	46.962	22.486	
0.433	38.803	16.516	
0.467	29.252	14.526	
0.500	22.685	18.904	
0.533	20.098	25.073	
0.567	20.695	30.644	
0.600	23.680	35.022	
0.633	27.063	37.410	
0.667	31.241	38.604	
0.700	35.221	38.604	
0.733	39.201	37.012	
0.767	42.783	33.828	
0.800	44.972	28.854	
0.833	44.176	22.486	
0.867	39.798	16.914	
0.900	33.032	14.924	
0.933	26.068	15.720	
0.967	18.705	16.516	
1.000	12.337	17.312	
