Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	101.286	75.218	
0.033	99.893	73.228	
0.066	97.704	71.039	
0.100	94.918	68.055	
0.133	91.734	64.274	
0.166	87.755	59.896	
0.200	83.576	55.319	
0.233	78.601	49.747	
0.266	73.029	43.579	
0.300	66.662	36.614	
0.333	59.896	28.854	
0.366	52.334	20.496	
0.400	42.982	13.133	
0.433	32.833	13.929	
0.466	27.063	20.297	
0.500	26.466	27.262	
0.533	29.053	32.833	
0.566	33.032	36.415	
0.600	37.808	38.007	
0.633	42.783	37.609	
0.666	47.559	35.420	
0.700	51.339	30.843	
0.733	52.334	24.277	
0.766	49.350	17.511	
0.800	42.783	13.332	
0.833	35.022	12.735	
0.866	27.063	12.337	
0.900	19.501	12.138	
