Time(s)	x1ÁÂÇ¥	y1ÁÂÇ¥	x2ÁÂÇ¥	y2ÁÂÇ¥	
0.000	21.057	-25.898	48.869	-33.667	
0.033	24.998	-25.673	45.829	-31.866	
0.066	28.826	-25.448	42.676	-30.064	
0.100	32.767	-25.110	39.636	-28.263	
0.133	30.966	-22.520	42.451	-28.938	
0.166	28.826	-19.817	45.153	-29.614	
0.200	26.799	-17.115	47.968	-30.289	
0.233	24.660	-14.413	50.671	-30.965	
0.266	22.520	-11.710	53.486	-31.753	
0.300	20.494	-9.008	56.301	-32.316	
0.333	18.354	-6.305	59.003	-32.992	
