Time(s)	x1ÁÂÇ¥	y1ÁÂÇ¥	x2ÁÂÇ¥	y2ÁÂÇ¥	
0.000	51.347	-38.735	32.092	-22.633	
0.034	46.505	-33.667	32.092	-22.633	
0.067	41.438	-28.488	32.092	-22.633	
0.100	38.622	-24.434	30.740	-21.957	
0.134	38.622	-21.844	27.587	-20.268	
0.167	38.510	-19.254	24.322	-18.579	
0.200	38.510	-16.665	21.057	-16.890	
0.234	38.397	-14.075	17.904	-15.201	
0.267	38.397	-11.485	14.751	-13.512	
0.300	38.397	-9.008	11.485	-11.935	
0.334	38.285	-6.418	8.220	-10.246	
