Time(s)	x1ÁÂÇ¥	y1ÁÂÇ¥	x2ÁÂÇ¥	y2ÁÂÇ¥	
0.000	50.220	-35.019	31.641	-23.083	
0.033	44.590	-30.289	31.529	-23.083	
0.067	38.848	-25.560	31.529	-23.083	
0.100	38.848	-23.083	27.925	-21.619	
0.133	39.073	-20.606	23.984	-20.043	
0.167	39.523	-18.241	19.931	-18.354	
0.200	39.974	-15.764	15.989	-16.777	
0.233	40.424	-13.399	12.048	-15.201	
