Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	11.711	-25.673	
0.034	17.003	-30.740	
0.067	22.408	-35.807	
0.100	27.813	-40.987	
0.134	33.105	-46.166	
0.167	37.159	-46.392	
0.200	40.199	-42.000	
0.234	43.239	-37.609	
0.267	46.279	-33.330	
0.300	49.207	-29.051	
0.334	52.135	-24.885	
0.367	55.062	-20.606	
0.400	57.990	-16.327	
0.434	60.017	-12.161	
0.467	57.089	-8.445	
0.500	54.049	-4.729	
0.534	50.558	-5.179	
0.567	46.730	-9.008	
0.600	42.901	-12.949	
0.634	39.073	-16.665	
0.667	35.357	-20.380	
0.700	31.754	-23.871	
0.734	28.150	-27.474	
0.767	24.547	-31.190	
0.800	20.719	-34.906	
0.834	16.890	-38.509	
0.867	13.287	-42.000	
0.900	9.571	-45.603	
0.934	6.981	-46.166	
0.967	8.445	-43.239	
1.000	10.247	-40.536	
1.034	11.936	-37.721	
1.067	13.737	-34.906	
1.100	15.426	-32.091	
1.134	17.116	-29.389	
1.167	18.917	-26.686	
1.200	20.606	-23.871	
1.234	22.295	-21.169	
1.267	23.984	-18.466	
1.300	25.673	-15.764	
1.334	27.362	-13.061	
