Time(s)	x1ÁÂÇ¥	y1ÁÂÇ¥	x2ÁÂÇ¥	y2ÁÂÇ¥	
0.000	48.306	-28.037	38.172	-16.102	
0.033	45.379	-23.196	37.947	-15.989	
0.066	43.915	-19.705	36.596	-14.750	
0.100	44.703	-17.791	32.767	-11.485	
0.133	45.379	-15.876	28.939	-8.219	
0.166	46.054	-13.962	25.110	-4.841	
0.200	46.730	-12.048	21.732	-4.616	
0.233	47.405	-10.134	18.579	-8.219	
0.266	48.081	-8.332	15.539	-11.935	
0.300	48.757	-6.305	12.499	-15.764	
