Time(s)	x1ÁÂÇ¥	y1ÁÂÇ¥	x2ÁÂÇ¥	y2ÁÂÇ¥	
0.000	51.459	-38.397	24.097	-21.394	
0.033	46.955	-34.343	24.097	-21.281	
0.066	42.564	-30.402	23.984	-21.169	
0.100	38.059	-26.574	23.984	-21.169	
0.133	33.555	-22.520	23.984	-21.056	
0.166	31.191	-18.691	21.732	-20.831	
0.200	30.740	-14.863	17.228	-20.606	
0.233	30.290	-11.147	12.837	-20.380	
0.266	29.952	-7.319	8.445	-20.380	
