Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	10.585	-26.461	
0.033	14.188	-29.726	
0.066	17.791	-33.217	
0.100	21.394	-36.708	
0.133	24.885	-40.086	
0.166	28.488	-43.689	
0.200	31.979	-47.067	
0.233	34.681	-45.941	
0.266	36.933	-42.901	
0.300	39.073	-39.973	
0.333	41.212	-36.933	
0.366	43.464	-33.893	
0.400	45.716	-30.852	
0.433	47.856	-27.700	
0.466	50.108	-24.659	
0.500	52.360	-21.619	
0.533	54.612	-18.579	
0.566	56.864	-15.651	
0.600	59.116	-12.724	
0.633	59.341	-9.908	
0.666	56.977	-7.319	
0.700	54.612	-4.616	
0.733	52.022	-5.179	
0.766	49.320	-7.882	
