Time(s)	x1ÁÂÇ¥	y1ÁÂÇ¥	x2ÁÂÇ¥	y2ÁÂÇ¥	
0.000	16.327	-35.469	32.992	-17.791	
0.033	19.818	-32.654	32.992	-17.791	
0.066	23.421	-29.839	32.992	-17.791	
0.100	26.799	-27.024	32.767	-17.678	
0.133	30.177	-24.434	32.767	-17.678	
0.166	32.317	-24.885	34.118	-14.638	
0.200	34.231	-25.222	35.695	-11.372	
0.233	36.258	-25.673	37.046	-8.219	
