Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	33.668	-29.839	
0.033	33.668	-29.839	
0.066	33.668	-29.839	
0.100	33.668	-28.938	
0.133	33.555	-28.150	
0.166	33.443	-27.474	
0.200	33.443	-27.137	
0.233	33.443	-27.137	
0.266	33.555	-27.587	
0.300	33.668	-28.150	
0.333	33.668	-29.051	
0.366	33.668	-30.064	
0.400	33.668	-31.078	
0.433	33.781	-32.091	
0.466	33.781	-33.217	
0.500	33.893	-34.005	
0.533	34.006	-34.794	
0.566	34.006	-35.244	
0.600	34.006	-35.357	
0.633	34.006	-35.357	
0.666	34.118	-35.019	
0.700	34.118	-34.568	
0.733	34.118	-33.780	
0.766	34.006	-32.879	
0.800	34.006	-31.978	
0.833	34.006	-30.965	
0.866	34.006	-29.952	
0.900	34.006	-29.051	
0.933	33.893	-28.150	
0.966	33.893	-27.587	
1.000	33.893	-27.137	
1.033	33.781	-27.137	
1.066	33.668	-27.474	
1.100	33.668	-28.037	
1.133	33.668	-28.826	
1.166	33.668	-29.839	
1.200	33.668	-30.852	
1.233	33.668	-31.866	
1.266	33.668	-32.879	
1.300	33.668	-33.893	
1.333	33.668	-34.568	
1.366	33.668	-35.019	
1.400	33.668	-35.357	
1.433	33.668	-35.357	
1.466	33.668	-35.244	
1.500	33.781	-34.681	
1.533	33.781	-34.005	
1.566	33.893	-33.217	
1.600	33.893	-32.204	
1.633	33.893	-31.190	
1.666	33.893	-30.177	
1.700	33.893	-29.163	
1.733	34.006	-28.375	
1.766	34.006	-27.700	
1.800	34.006	-27.249	
1.833	34.118	-27.137	
1.866	34.118	-27.249	
1.900	34.118	-27.812	
1.933	34.006	-28.488	
1.966	34.006	-29.389	
2.000	34.006	-30.402	
2.033	34.006	-31.415	
2.066	34.006	-32.429	
2.100	34.006	-33.442	
2.133	33.893	-34.231	
2.166	33.893	-34.906	
2.200	33.893	-35.244	
2.233	33.781	-35.357	
2.266	33.781	-35.244	
2.300	33.668	-34.794	
2.333	33.668	-34.231	
2.366	33.668	-33.442	
2.400	33.668	-32.541	
2.433	33.668	-31.528	
2.466	33.555	-30.515	
2.500	33.555	-29.614	
2.533	33.555	-28.713	
2.566	33.555	-28.037	
2.600	33.555	-27.474	
2.633	33.668	-27.137	
2.666	33.668	-27.137	
2.700	33.668	-27.587	
2.733	33.668	-28.150	
2.766	33.781	-28.938	
2.800	33.781	-29.839	
2.833	33.893	-30.852	
2.866	33.893	-31.866	
2.900	34.006	-32.879	
2.933	34.006	-33.780	
2.966	34.006	-34.568	
3.000	34.006	-35.019	
3.033	34.006	-35.244	
3.066	34.118	-35.244	
3.100	34.006	-35.019	
3.133	34.006	-34.568	
3.166	34.006	-33.893	
3.200	33.893	-32.992	
3.233	33.893	-32.091	
3.266	33.893	-31.078	
3.300	33.781	-30.064	
3.333	33.668	-29.163	
3.366	33.668	-28.375	
3.400	33.668	-27.700	
3.433	33.668	-27.249	
3.466	33.555	-27.137	
3.500	33.555	-27.249	
3.533	33.555	-27.700	
3.566	33.555	-28.375	
3.600	33.555	-29.163	
3.633	33.555	-30.177	
3.666	33.555	-31.190	
3.700	33.668	-32.204	
3.733	33.668	-33.217	
3.766	33.668	-34.005	
3.800	33.668	-34.681	
3.833	33.668	-35.131	
3.866	33.781	-35.244	
3.900	33.893	-35.244	
3.933	33.893	-34.906	
3.966	33.893	-34.343	
4.000	34.006	-33.667	
4.033	34.006	-32.767	
4.066	34.006	-31.753	
4.100	34.006	-30.740	
4.133	34.118	-29.726	
4.166	34.006	-28.826	
4.200	34.118	-28.150	
4.233	34.006	-27.587	
4.266	34.006	-27.249	
4.300	33.893	-27.137	
4.333	33.893	-27.362	
