Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	34.006	-31.641	
0.033	34.006	-31.641	
0.066	34.006	-31.866	
0.100	34.006	-32.204	
0.133	34.006	-32.654	
0.166	34.006	-33.217	
0.200	34.006	-33.893	
0.233	34.006	-34.568	
0.266	33.893	-35.244	
0.300	33.893	-35.807	
0.333	33.893	-36.370	
0.366	33.893	-36.933	
0.400	33.893	-37.271	
0.433	33.781	-37.609	
0.466	33.781	-37.721	
0.500	33.781	-37.721	
0.533	33.781	-37.496	
0.566	33.668	-37.271	
0.600	33.668	-36.820	
0.633	33.668	-36.370	
0.666	33.668	-35.807	
0.700	33.668	-35.131	
0.733	33.668	-34.568	
0.766	33.668	-33.893	
0.800	33.668	-33.217	
0.833	33.668	-32.654	
0.866	33.668	-32.316	
0.900	33.781	-31.978	
0.933	33.781	-31.641	
0.966	33.781	-31.528	
1.000	33.781	-31.641	
1.033	33.893	-31.866	
1.066	33.893	-32.204	
1.100	33.893	-32.541	
1.133	33.893	-33.104	
1.166	33.893	-33.667	
1.200	33.893	-34.343	
1.233	33.893	-35.019	
1.266	34.006	-35.694	
1.300	33.893	-36.257	
1.333	33.893	-36.820	
1.366	33.893	-37.271	
1.400	33.893	-37.496	
1.433	33.893	-37.721	
1.466	33.893	-37.721	
1.500	33.893	-37.609	
1.533	33.781	-37.383	
1.566	33.781	-37.046	
1.600	33.668	-36.595	
1.633	33.668	-35.920	
1.666	33.668	-35.357	
1.700	33.668	-34.681	
1.733	33.668	-34.005	
1.766	33.668	-33.442	
1.800	33.555	-32.879	
1.833	33.443	-32.316	
1.866	33.443	-31.978	
1.900	33.443	-31.641	
1.933	33.443	-31.528	
1.966	33.443	-31.641	
2.000	33.555	-31.753	
2.033	33.555	-32.091	
2.066	33.555	-32.429	
2.100	33.668	-32.992	
2.133	33.668	-33.555	
2.166	33.668	-34.231	
2.200	33.668	-34.906	
2.233	33.668	-35.469	
2.266	33.668	-36.145	
2.300	33.781	-36.708	
2.333	33.893	-37.158	
2.366	33.893	-37.496	
2.400	33.893	-37.609	
2.433	33.893	-37.721	
2.466	33.893	-37.609	
2.500	33.893	-37.496	
2.533	33.893	-37.158	
2.566	33.893	-36.708	
2.600	33.893	-36.145	
2.633	33.893	-35.582	
2.666	33.781	-34.906	
2.700	33.781	-34.231	
2.733	33.668	-33.555	
2.766	33.668	-32.992	
2.800	33.668	-32.541	
2.833	33.668	-32.091	
2.866	33.668	-31.866	
2.900	33.668	-31.641	
2.933	33.668	-31.641	
2.966	33.555	-31.641	
3.000	33.443	-31.978	
3.033	33.443	-32.316	
3.066	33.555	-32.767	
3.100	33.555	-33.442	
3.133	33.555	-34.005	
3.166	33.555	-34.681	
3.200	33.555	-35.244	
3.233	33.668	-35.920	
3.266	33.668	-36.483	
3.300	33.668	-37.046	
3.333	33.668	-37.383	
3.366	33.668	-37.609	
3.400	33.668	-37.721	
3.433	33.668	-37.609	
3.466	33.781	-37.496	
3.500	33.781	-37.271	
3.533	33.893	-36.820	
3.566	33.893	-36.257	
3.600	33.893	-35.694	
3.633	33.893	-35.131	
3.666	33.893	-34.456	
3.700	33.893	-33.780	
3.733	33.893	-33.217	
3.766	33.893	-32.654	
3.800	33.893	-32.204	
3.833	33.893	-31.866	
3.866	33.893	-31.641	
3.900	33.781	-31.641	
3.933	33.668	-31.641	
3.966	33.668	-31.978	
4.000	33.668	-32.204	
4.033	33.668	-32.654	
4.066	33.668	-33.217	
4.100	33.668	-33.893	
4.133	33.668	-34.456	
4.166	33.668	-35.131	
4.200	33.668	-35.807	
4.233	33.668	-36.370	
4.266	33.668	-36.933	
4.300	33.668	-37.271	
4.333	33.668	-37.496	
4.366	33.668	-37.609	
4.400	33.668	-37.609	
4.433	33.668	-37.496	
4.466	33.668	-37.271	
4.500	33.668	-36.933	
