Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	33.781	-34.906	
0.033	33.781	-33.780	
0.066	33.781	-32.879	
0.100	33.781	-31.978	
0.133	33.781	-31.303	
0.166	33.781	-30.965	
0.200	33.781	-30.852	
0.233	33.781	-30.852	
0.266	33.781	-31.190	
0.300	33.781	-31.641	
0.333	33.893	-32.316	
0.366	33.893	-33.330	
0.400	33.893	-34.343	
0.433	33.781	-35.582	
0.466	33.893	-36.708	
0.500	33.893	-37.946	
0.533	33.893	-39.072	
0.566	33.781	-40.311	
0.600	33.781	-41.324	
0.633	33.781	-42.113	
0.666	33.781	-42.676	
0.700	33.668	-43.126	
0.733	33.668	-43.239	
0.766	33.668	-43.126	
0.800	33.668	-42.901	
0.833	33.668	-42.338	
0.866	33.668	-41.550	
0.900	33.668	-40.649	
0.933	33.443	-39.523	
0.966	33.443	-38.284	
1.000	33.443	-37.158	
1.033	33.443	-35.920	
1.066	33.443	-34.794	
1.100	33.443	-33.667	
1.133	33.443	-32.767	
1.166	33.443	-31.978	
1.200	33.443	-31.415	
1.233	33.668	-31.078	
1.266	33.668	-30.965	
1.300	33.668	-31.190	
1.333	33.668	-31.528	
1.366	33.668	-31.978	
1.400	33.668	-32.879	
1.433	33.781	-33.667	
1.466	33.781	-34.794	
1.500	33.781	-35.920	
1.533	33.781	-37.158	
1.566	33.781	-38.284	
1.600	34.006	-39.410	
1.633	34.006	-40.424	
1.666	34.006	-41.212	
1.700	33.893	-41.887	
1.733	33.893	-42.450	
1.766	33.893	-42.676	
1.800	33.893	-42.788	
1.833	33.781	-42.563	
1.866	33.781	-42.225	
1.900	33.781	-41.662	
1.933	33.781	-40.874	
1.966	33.781	-39.861	
2.000	33.668	-38.847	
2.033	33.555	-37.721	
2.066	33.555	-36.595	
2.100	33.555	-35.469	
2.133	33.555	-34.343	
2.166	33.443	-33.330	
2.200	33.443	-32.541	
2.233	33.443	-31.866	
2.266	33.443	-31.415	
2.300	33.443	-31.190	
2.333	33.443	-31.190	
2.366	33.443	-31.415	
2.400	33.443	-31.866	
2.433	33.443	-32.429	
2.466	33.443	-33.330	
2.500	33.668	-34.343	
2.533	33.668	-35.469	
2.566	33.668	-36.595	
2.600	33.668	-37.834	
2.633	33.781	-38.960	
2.666	33.781	-39.973	
2.700	33.893	-40.874	
2.733	33.893	-41.662	
2.766	33.893	-42.225	
2.800	33.893	-42.563	
2.833	34.006	-42.563	
2.866	34.006	-42.450	
2.900	34.006	-42.225	
2.933	33.893	-41.662	
2.966	33.893	-40.987	
3.000	34.006	-40.086	
3.033	34.006	-39.185	
3.066	33.781	-38.172	
3.100	33.781	-37.046	
3.133	33.781	-35.920	
3.166	33.781	-34.794	
3.200	33.781	-33.780	
3.233	33.668	-32.879	
3.266	33.555	-32.091	
3.300	33.443	-31.528	
3.333	33.443	-31.190	
3.366	33.443	-31.078	
3.400	33.443	-31.190	
3.433	33.443	-31.528	
3.466	33.443	-32.091	
3.500	33.443	-32.879	
3.533	33.443	-33.780	
3.566	33.443	-34.906	
3.600	33.443	-36.145	
3.633	33.443	-37.383	
3.666	33.443	-38.509	
3.700	33.443	-39.635	
3.733	33.668	-40.761	
3.766	33.668	-41.662	
3.800	33.668	-42.338	
3.833	33.668	-42.788	
3.866	33.668	-42.901	
3.900	33.781	-42.901	
3.933	33.893	-42.676	
3.966	33.893	-42.225	
4.000	33.781	-41.662	
4.033	33.781	-40.761	
4.066	34.006	-39.748	
4.100	34.006	-38.735	
4.133	33.893	-37.609	
4.166	33.781	-36.483	
4.200	33.781	-35.357	
4.233	33.781	-34.231	
4.266	33.781	-33.330	
4.300	33.781	-32.429	
4.333	33.781	-31.753	
4.366	33.668	-31.303	
4.400	33.668	-30.965	
4.433	33.668	-30.965	
4.466	33.668	-31.190	
4.500	33.668	-31.528	
4.533	33.668	-32.204	
4.566	33.668	-32.992	
4.600	33.668	-33.893	
4.633	33.668	-35.131	
4.666	33.668	-36.483	
4.700	33.668	-37.721	
4.733	33.668	-38.960	
4.766	33.668	-40.086	
4.800	33.668	-41.324	
4.833	33.668	-42.113	
4.866	33.668	-42.676	
4.900	33.668	-43.239	
4.933	33.668	-43.351	
4.966	33.668	-43.351	
5.000	33.668	-43.013	
5.033	33.781	-42.450	
5.066	33.781	-41.662	
5.100	33.781	-40.874	
5.133	33.781	-39.748	
5.166	33.893	-38.622	
5.200	33.893	-37.383	
5.233	33.893	-36.257	
5.266	33.893	-35.131	
5.300	33.893	-34.005	
5.333	33.893	-32.992	
5.366	33.893	-32.204	
5.400	34.006	-31.528	
5.433	34.006	-31.190	
5.466	33.893	-30.965	
5.500	33.893	-30.965	
5.533	33.893	-31.190	
5.566	34.006	-31.641	
5.600	34.006	-32.316	
5.633	34.006	-33.104	
5.666	33.893	-34.118	
5.700	33.893	-35.357	
5.733	33.893	-36.595	
5.766	33.893	-37.834	
5.800	33.893	-38.960	
5.833	33.781	-40.198	
5.866	33.781	-41.212	
5.900	33.781	-42.000	
5.933	33.781	-42.676	
5.966	33.781	-43.126	
6.000	33.668	-43.351	
6.033	33.668	-43.351	
6.066	33.668	-43.013	
6.100	33.668	-42.450	
6.133	33.668	-41.662	
6.166	33.668	-40.761	
6.200	33.668	-39.748	
6.233	33.668	-38.509	
6.266	33.668	-37.383	
6.300	33.668	-36.145	
6.333	33.668	-34.906	
6.366	33.668	-33.893	
6.400	33.668	-32.879	
6.433	33.668	-32.091	
6.466	33.668	-31.528	
6.500	33.668	-31.190	
6.533	33.668	-30.965	
6.566	33.668	-31.078	
6.600	33.668	-31.415	
6.633	33.781	-31.978	
6.666	33.781	-32.654	
6.700	33.893	-33.555	
6.733	33.893	-34.568	
