Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	33.668	-34.568	
0.033	33.668	-33.555	
0.066	33.555	-32.654	
0.100	33.555	-31.753	
0.133	33.443	-31.078	
0.166	33.555	-30.515	
0.200	33.555	-30.177	
0.233	33.555	-29.952	
0.266	33.555	-29.952	
0.300	33.555	-30.177	
0.333	33.555	-30.627	
0.366	33.555	-31.190	
0.400	33.668	-32.091	
0.433	33.668	-32.879	
0.466	33.781	-33.893	
0.500	33.781	-34.906	
0.533	33.781	-35.920	
0.566	33.781	-36.820	
0.600	33.893	-37.721	
0.633	33.893	-38.397	
0.666	33.893	-38.960	
0.700	33.893	-39.298	
0.733	33.893	-39.410	
0.766	33.893	-39.298	
0.800	34.006	-38.960	
0.833	33.893	-38.509	
0.866	33.893	-37.834	
0.900	33.893	-36.933	
0.933	33.893	-36.032	
0.966	33.893	-35.019	
1.000	33.893	-34.005	
1.033	33.668	-33.104	
1.066	33.668	-32.091	
1.100	33.668	-31.415	
1.133	33.668	-30.740	
1.166	33.668	-30.289	
1.200	33.668	-30.064	
1.233	33.668	-30.064	
1.266	33.555	-30.177	
1.300	33.443	-30.627	
1.333	33.555	-31.190	
1.366	33.668	-31.866	
1.400	33.668	-32.767	
1.433	33.555	-33.667	
1.466	33.555	-34.681	
1.500	33.555	-35.694	
1.533	33.668	-36.595	
1.566	33.668	-37.383	
1.600	33.668	-38.059	
1.633	33.668	-38.622	
1.666	33.668	-38.960	
1.700	33.668	-39.072	
1.733	33.781	-39.072	
1.766	33.781	-38.735	
1.800	33.781	-38.397	
1.833	33.781	-37.721	
1.866	33.893	-36.933	
1.900	33.893	-36.145	
1.933	33.893	-35.131	
1.966	33.893	-34.231	
2.000	33.893	-33.217	
2.033	33.893	-32.316	
2.066	33.893	-31.528	
2.100	33.893	-30.965	
2.133	33.893	-30.515	
2.166	33.893	-30.177	
2.200	33.668	-30.064	
2.233	33.668	-30.177	
2.266	33.668	-30.515	
2.300	33.781	-31.078	
2.333	33.781	-31.753	
2.366	33.781	-32.541	
2.400	33.668	-33.555	
2.433	33.668	-34.568	
2.466	33.668	-35.582	
2.500	33.781	-36.595	
2.533	33.781	-37.383	
2.566	33.781	-38.059	
2.600	33.668	-38.622	
2.633	33.668	-38.960	
2.666	33.781	-39.072	
2.700	33.781	-39.072	
2.733	33.781	-38.847	
2.766	33.668	-38.397	
2.800	33.781	-37.834	
2.833	33.781	-37.046	
2.866	33.781	-36.145	
2.900	33.781	-35.244	
2.933	33.781	-34.343	
2.966	33.781	-33.330	
3.000	33.781	-32.541	
3.033	33.781	-31.641	
3.066	33.893	-30.965	
3.100	33.893	-30.515	
3.133	33.893	-30.177	
3.166	33.893	-30.064	
3.200	33.893	-30.177	
3.233	33.893	-30.515	
3.266	33.893	-30.965	
3.300	34.006	-31.528	
3.333	33.893	-32.429	
