Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	33.668	-33.330	
0.034	33.668	-32.992	
0.067	33.668	-32.541	
0.100	33.668	-31.641	
0.134	33.668	-30.965	
0.167	33.668	-30.402	
0.200	33.781	-29.839	
0.234	33.893	-29.276	
0.267	33.893	-28.938	
0.300	33.893	-28.600	
0.334	33.893	-28.600	
0.367	33.893	-28.600	
0.400	34.006	-28.826	
0.434	34.006	-29.163	
0.467	34.006	-29.614	
0.500	34.006	-30.177	
0.534	34.006	-30.852	
0.567	34.006	-31.528	
0.600	33.893	-32.204	
0.634	33.893	-32.654	
0.667	33.893	-33.217	
0.700	33.893	-33.555	
0.734	33.893	-33.780	
0.767	33.781	-33.780	
0.800	33.668	-33.667	
0.834	33.668	-33.442	
0.867	33.668	-32.992	
0.900	33.668	-32.541	
0.934	33.668	-31.866	
0.967	33.555	-31.303	
1.000	33.443	-30.627	
1.034	33.555	-29.952	
1.067	33.555	-29.501	
1.100	33.668	-29.051	
1.134	33.668	-28.713	
1.167	33.668	-28.600	
1.200	33.668	-28.600	
1.234	33.668	-28.713	
1.267	33.668	-29.051	
1.300	33.668	-29.501	
1.334	33.781	-30.064	
1.367	33.781	-30.627	
1.400	33.893	-31.303	
1.434	33.893	-31.978	
1.467	33.893	-32.541	
1.500	34.006	-33.104	
1.534	34.006	-33.442	
1.567	34.006	-33.667	
1.600	34.006	-33.780	
1.634	34.006	-33.667	
1.667	34.006	-33.555	
1.700	34.006	-33.217	
1.734	33.893	-32.654	
1.767	33.893	-32.091	
1.800	33.893	-31.528	
1.834	33.781	-30.852	
1.867	33.668	-30.177	
1.900	33.668	-29.614	
1.934	33.668	-29.163	
1.967	33.668	-28.826	
2.000	33.668	-28.600	
2.034	33.668	-28.600	
2.067	33.668	-28.713	
2.100	33.668	-28.938	
2.134	33.668	-29.389	
2.167	33.668	-29.839	
2.200	33.668	-30.515	
2.234	33.668	-31.078	
2.267	33.668	-31.753	
2.300	33.668	-32.429	
2.334	33.668	-32.992	
2.367	33.668	-33.330	
2.400	33.781	-33.667	
2.434	33.781	-33.780	
2.467	33.893	-33.780	
2.500	33.893	-33.555	
2.534	33.893	-33.330	
2.567	33.893	-32.879	
2.600	33.893	-32.316	
2.634	33.893	-31.641	
2.667	33.893	-30.965	
2.700	33.893	-30.402	
2.734	34.006	-29.839	
2.767	33.893	-29.276	
2.800	33.893	-28.938	
2.834	33.893	-28.600	
2.867	33.893	-28.600	
2.900	33.893	-28.600	
2.934	33.893	-28.826	
2.967	33.893	-29.276	
3.000	33.668	-29.726	
3.034	33.668	-30.289	
3.067	33.668	-30.852	
3.100	33.668	-31.528	
3.134	33.668	-32.204	
3.167	33.668	-32.767	
3.200	33.668	-33.217	
3.234	33.668	-33.555	
3.267	33.668	-33.780	
3.300	33.668	-33.780	
3.334	33.668	-33.667	
3.367	33.668	-33.442	
3.400	33.668	-32.992	
3.434	33.668	-32.541	
3.467	33.668	-31.866	
3.500	33.668	-31.190	
3.534	33.781	-30.627	
3.567	33.893	-30.064	
3.600	33.893	-29.501	
3.634	33.893	-29.051	
3.667	33.893	-28.713	
3.700	33.893	-28.600	
3.734	33.893	-28.600	
3.767	34.006	-28.826	
3.800	34.006	-29.163	
3.834	34.006	-29.501	
3.867	34.006	-30.064	
3.900	34.006	-30.740	
3.934	34.006	-31.415	
3.967	34.006	-31.978	
4.000	34.006	-32.541	
4.034	33.893	-33.104	
4.067	33.893	-33.555	
4.100	33.893	-33.667	
4.134	33.781	-33.780	
4.167	33.781	-33.667	
