Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	34.118	-32.429	
0.033	34.118	-31.753	
0.067	34.118	-30.965	
0.100	34.118	-30.177	
0.133	34.118	-29.501	
0.167	34.118	-28.938	
0.200	34.006	-28.488	
0.233	34.006	-28.263	
0.267	33.893	-28.150	
0.300	33.893	-28.263	
0.333	33.781	-28.488	
0.367	33.781	-28.938	
0.400	33.668	-29.501	
0.433	33.668	-30.177	
0.467	33.668	-30.852	
0.500	33.555	-31.528	
0.533	33.555	-32.316	
0.567	33.555	-32.992	
0.600	33.555	-33.555	
0.633	33.668	-33.893	
0.667	33.668	-34.118	
0.700	33.555	-34.118	
0.733	33.555	-34.005	
0.767	33.668	-33.780	
0.800	33.668	-33.217	
0.833	33.668	-32.541	
0.867	33.781	-31.866	
0.900	33.668	-31.190	
0.933	33.781	-30.515	
0.967	33.893	-29.839	
1.000	33.893	-29.163	
1.033	34.006	-28.713	
1.067	34.118	-28.375	
1.100	34.118	-28.150	
1.133	34.118	-28.150	
1.167	34.118	-28.375	
1.200	34.118	-28.713	
1.233	34.118	-29.276	
1.267	34.118	-29.839	
1.300	34.118	-30.627	
1.333	34.118	-31.415	
1.367	34.006	-32.091	
1.400	34.006	-32.767	
1.433	34.006	-33.330	
1.467	34.006	-33.667	
1.500	33.893	-34.005	
1.533	33.781	-34.005	
1.567	33.668	-33.893	
1.600	33.668	-33.667	
1.633	33.668	-33.217	
1.667	33.668	-32.767	
1.700	33.555	-32.091	
1.733	33.555	-31.415	
1.767	33.443	-30.627	
1.800	33.443	-29.952	
1.833	33.555	-29.389	
1.867	33.555	-28.826	
1.900	33.668	-28.488	
1.933	33.668	-28.263	
1.967	33.668	-28.150	
2.000	33.668	-28.375	
2.033	33.668	-28.713	
2.067	33.781	-29.163	
2.100	33.893	-29.726	
2.133	33.893	-30.515	
2.167	34.006	-31.190	
2.200	34.006	-31.978	
2.233	34.006	-32.767	
2.267	34.118	-33.217	
2.300	34.118	-33.780	
2.333	34.118	-34.118	
2.367	34.118	-34.231	
2.400	34.118	-34.118	
2.433	34.006	-33.893	
2.467	34.006	-33.442	
2.500	34.006	-32.879	
2.533	33.893	-32.316	
2.567	33.893	-31.641	
2.600	33.781	-30.852	
2.633	33.668	-30.177	
2.667	33.668	-29.501	
2.700	33.668	-28.938	
2.733	33.668	-28.488	
2.767	33.555	-28.263	
2.800	33.443	-28.150	
2.833	33.443	-28.263	
2.867	33.443	-28.488	
2.900	33.443	-28.938	
2.933	33.443	-29.501	
2.967	33.443	-30.177	
3.000	33.443	-30.965	
3.033	33.443	-31.753	
3.067	33.668	-32.429	
3.100	33.668	-33.104	
3.133	33.668	-33.667	
3.167	33.893	-34.118	
3.200	33.893	-34.231	
3.233	33.893	-34.231	
3.267	33.893	-34.118	
3.300	34.006	-33.780	
3.333	34.118	-33.330	
3.367	34.118	-32.654	
3.400	34.118	-31.978	
3.433	34.118	-31.190	
3.467	34.118	-30.402	
3.500	34.118	-29.726	
