Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	34.006	-32.654	
0.034	33.893	-32.879	
0.067	33.893	-33.330	
0.100	34.006	-33.780	
0.134	33.781	-34.568	
0.167	33.781	-35.357	
0.200	33.668	-36.257	
0.234	33.668	-37.046	
0.267	33.668	-37.946	
0.300	33.668	-38.847	
0.334	33.555	-39.635	
0.367	33.443	-40.311	
0.400	33.443	-40.761	
0.434	33.555	-41.212	
0.467	33.668	-41.437	
0.500	33.443	-41.437	
0.534	33.443	-41.324	
0.567	33.668	-41.099	
0.600	33.668	-40.649	
0.634	33.668	-39.973	
0.667	33.668	-39.298	
0.700	33.668	-38.509	
0.734	33.668	-37.609	
0.767	33.893	-36.820	
0.800	33.893	-35.920	
0.834	33.893	-35.131	
0.867	33.893	-34.343	
0.900	33.893	-33.780	
0.934	34.006	-33.217	
0.967	34.118	-32.879	
1.000	34.118	-32.654	
1.034	34.118	-32.541	
1.067	34.118	-32.767	
1.100	34.118	-33.104	
1.134	34.118	-33.555	
1.167	34.118	-34.118	
1.200	34.231	-34.794	
1.234	34.118	-35.582	
1.267	34.006	-36.483	
1.300	34.006	-37.271	
1.334	34.006	-38.172	
1.367	34.006	-38.960	
1.400	34.006	-39.635	
1.434	33.893	-40.311	
1.467	33.893	-40.761	
1.500	33.893	-41.099	
1.534	33.893	-41.212	
1.567	33.781	-41.212	
1.600	33.668	-41.099	
1.634	33.668	-40.761	
1.667	33.781	-40.198	
1.700	33.781	-39.635	
1.734	33.781	-38.847	
1.767	33.668	-38.059	
1.800	33.668	-37.158	
1.834	33.781	-36.370	
1.867	33.781	-35.582	
1.900	33.893	-34.794	
1.934	33.781	-34.118	
1.967	33.781	-33.555	
2.000	33.893	-33.104	
2.034	34.006	-32.767	
2.067	34.118	-32.654	
2.100	34.118	-32.654	
2.134	34.118	-32.879	
2.167	34.118	-33.217	
2.200	34.118	-33.780	
2.234	34.344	-34.456	
2.267	34.344	-35.244	
2.300	34.344	-36.032	
2.334	34.231	-36.933	
2.367	34.231	-37.721	
2.400	34.231	-38.622	
2.434	34.231	-39.298	
2.467	34.118	-39.973	
2.500	34.118	-40.536	
2.534	34.118	-40.987	
2.567	34.006	-41.099	
2.600	34.006	-41.212	
2.634	33.893	-41.099	
2.667	33.668	-40.874	
2.700	33.668	-40.424	
2.734	33.668	-39.973	
2.767	33.668	-39.298	
2.800	33.555	-38.509	
2.834	33.443	-37.721	
2.867	33.443	-36.933	
2.900	33.443	-36.032	
2.934	33.443	-35.244	
2.967	33.443	-34.568	
3.000	33.330	-33.893	
3.034	33.330	-33.330	
3.067	33.330	-32.992	
3.100	33.443	-32.767	
3.134	33.443	-32.654	
3.167	33.555	-32.767	
3.200	33.555	-33.104	
3.234	33.555	-33.555	
3.267	33.668	-34.118	
3.300	33.781	-34.906	
3.334	33.893	-35.582	
3.367	34.006	-36.483	
3.400	34.006	-37.383	
3.434	34.006	-38.284	
3.467	34.118	-39.072	
3.500	34.231	-39.748	
3.534	34.231	-40.311	
3.567	34.231	-40.761	
3.600	34.231	-41.099	
3.634	34.344	-41.212	
3.667	34.344	-41.212	
3.700	34.344	-41.099	
3.734	34.231	-40.761	
3.767	34.231	-40.198	
3.800	34.231	-39.635	
3.834	34.231	-38.847	
3.867	34.118	-38.172	
3.900	34.006	-37.271	
3.934	34.006	-36.483	
3.967	34.006	-35.694	
4.000	34.006	-34.794	
4.034	33.781	-34.118	
4.067	33.781	-33.555	
4.100	33.668	-33.104	
4.134	33.668	-32.767	
4.167	33.668	-32.654	
4.200	33.668	-32.654	
4.234	33.668	-32.767	
4.267	33.555	-33.217	
4.300	33.555	-33.667	
4.334	33.555	-34.343	
4.367	33.668	-35.019	
4.400	33.781	-35.920	
4.434	33.781	-36.708	
4.467	33.781	-37.609	
4.500	33.781	-38.509	
4.534	33.781	-39.298	
4.567	34.006	-39.973	
4.600	34.006	-40.649	
4.634	34.006	-41.099	
4.667	34.006	-41.324	
4.700	34.118	-41.437	
4.734	34.118	-41.324	
4.767	34.118	-41.099	
4.800	34.118	-40.761	
4.834	34.118	-40.086	
4.867	34.231	-39.410	
4.900	34.231	-38.735	
4.934	34.118	-37.946	
4.967	34.006	-37.046	
5.000	34.006	-36.257	
5.034	34.006	-35.357	
5.067	34.006	-34.568	
5.100	34.006	-33.893	
5.134	33.893	-33.330	
5.167	33.781	-32.992	
5.200	33.668	-32.654	
5.234	33.668	-32.654	
5.267	33.668	-32.654	
5.300	33.668	-32.879	
5.334	33.555	-33.217	
5.367	33.443	-33.893	
5.400	33.443	-34.456	
5.434	33.443	-35.244	
5.467	33.443	-36.145	
5.500	33.443	-36.933	
5.534	33.443	-37.834	
5.567	33.443	-38.735	
5.600	33.443	-39.523	
5.634	33.555	-40.198	
5.667	33.668	-40.761	
