Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	33.443	-28.150	
0.034	33.330	-28.488	
0.067	33.218	-29.276	
0.100	33.218	-30.289	
0.134	33.218	-31.641	
0.167	33.443	-33.330	
0.200	33.443	-35.019	
0.234	33.443	-36.933	
0.267	33.668	-38.735	
0.300	33.668	-40.424	
0.334	33.893	-42.000	
0.367	34.118	-43.464	
0.400	34.118	-44.477	
0.434	34.118	-45.266	
0.467	34.344	-45.716	
0.500	34.569	-45.829	
0.534	34.681	-45.603	
0.567	34.681	-45.040	
0.600	34.681	-44.252	
0.634	34.794	-43.126	
0.667	34.907	-41.775	
0.700	34.907	-40.311	
0.734	34.907	-38.622	
0.767	34.794	-37.046	
0.800	34.907	-35.357	
0.834	34.907	-33.667	
0.867	34.681	-32.204	
0.900	34.681	-30.852	
0.934	34.569	-29.726	
0.967	34.456	-28.826	
1.000	34.456	-28.263	
1.034	34.344	-28.037	
1.067	34.344	-28.150	
1.100	34.344	-28.488	
1.134	34.118	-29.389	
1.167	34.006	-30.402	
1.200	34.006	-31.978	
1.234	33.893	-33.555	
1.267	34.006	-35.357	
1.300	34.006	-37.271	
1.334	33.781	-39.185	
1.367	33.781	-41.099	
1.400	33.781	-42.563	
1.434	33.893	-44.027	
1.467	33.893	-45.153	
1.500	33.893	-45.829	
1.534	33.893	-46.166	
1.567	34.118	-46.166	
1.600	34.118	-45.829	
1.634	34.231	-45.266	
1.667	34.231	-44.365	
1.700	34.344	-43.126	
1.734	34.456	-41.662	
1.767	34.569	-39.973	
1.800	34.569	-38.284	
1.834	34.681	-36.595	
1.867	34.681	-34.906	
1.900	34.681	-33.217	
1.934	34.681	-31.753	
1.967	34.794	-30.515	
2.000	34.794	-29.501	
2.034	34.794	-28.600	
2.067	34.681	-28.150	
2.100	34.681	-28.037	
2.134	34.681	-28.263	
2.167	34.681	-28.713	
2.200	34.681	-29.614	
2.234	34.681	-30.740	
2.267	34.456	-32.204	
2.300	34.456	-33.780	
2.334	34.456	-35.582	
2.367	34.344	-37.496	
2.400	34.231	-39.298	
2.434	34.118	-41.212	
2.467	34.006	-42.788	
2.500	33.893	-44.139	
2.534	33.893	-45.378	
2.567	33.781	-46.054	
2.600	33.668	-46.392	
2.634	33.668	-46.504	
2.667	33.668	-46.166	
2.700	33.668	-45.491	
2.734	33.555	-44.365	
2.767	33.555	-43.126	
2.800	33.555	-41.662	
2.834	33.555	-39.973	
2.867	33.781	-38.284	
2.900	33.781	-36.483	
2.934	33.781	-34.681	
2.967	33.781	-32.992	
3.000	34.006	-31.528	
3.034	34.006	-30.289	
3.067	34.118	-29.276	
3.100	34.231	-28.600	
3.134	34.231	-28.150	
3.167	34.344	-28.037	
