Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	28.714	-46.504	
0.033	28.714	-46.504	
0.066	28.714	-46.504	
0.100	30.177	-46.729	
0.133	31.866	-46.955	
0.166	33.443	-47.067	
0.200	35.019	-47.067	
0.233	36.708	-47.067	
0.266	38.397	-46.955	
0.300	39.974	-46.842	
0.333	41.212	-46.617	
0.366	42.451	-46.392	
0.400	43.690	-46.166	
0.433	44.703	-45.941	
0.466	45.379	-45.716	
0.500	45.942	-45.491	
0.533	46.392	-45.378	
0.566	46.505	-45.378	
0.600	46.505	-45.378	
0.633	46.279	-45.491	
0.666	45.716	-45.603	
0.700	44.928	-45.829	
0.733	44.140	-46.054	
0.766	43.127	-46.279	
0.800	41.888	-46.504	
0.833	40.649	-46.842	
0.866	39.073	-47.067	
0.900	37.384	-47.180	
0.933	36.033	-47.180	
0.966	34.118	-47.180	
1.000	32.542	-47.067	
1.033	30.966	-46.955	
1.066	29.389	-46.729	
1.100	28.038	-46.504	
1.133	26.687	-46.279	
1.166	25.561	-45.829	
1.200	24.547	-45.603	
1.233	23.759	-45.378	
1.266	23.196	-45.153	
1.300	22.858	-45.040	
1.333	22.633	-44.815	
1.366	22.520	-44.815	
1.400	22.633	-44.928	
1.433	23.196	-45.040	
1.466	23.759	-45.266	
1.500	24.435	-45.603	
1.533	25.448	-45.829	
1.566	26.574	-46.166	
1.600	27.925	-46.392	
1.633	29.277	-46.617	
1.666	30.853	-46.955	
1.700	32.317	-47.067	
1.733	34.006	-47.180	
1.766	35.807	-47.067	
1.800	37.384	-47.067	
1.833	38.848	-46.955	
1.866	40.312	-46.729	
1.900	41.663	-46.504	
1.933	43.014	-46.279	
1.966	44.027	-46.054	
2.000	44.928	-45.829	
2.033	45.604	-45.603	
2.066	46.167	-45.378	
2.100	46.392	-45.378	
2.133	46.505	-45.378	
2.166	46.392	-45.378	
2.200	45.942	-45.603	
2.233	45.379	-45.716	
2.266	44.703	-45.941	
2.300	43.690	-46.166	
2.333	42.564	-46.504	
2.366	41.212	-46.729	
2.400	39.861	-46.955	
2.433	38.397	-47.067	
2.466	36.708	-47.180	
2.500	35.132	-47.180	
2.533	33.330	-47.180	
2.566	31.866	-47.067	
2.600	30.290	-46.842	
2.633	28.714	-46.617	
2.666	27.475	-46.392	
2.700	26.124	-46.054	
2.733	25.223	-45.829	
2.766	24.322	-45.603	
2.800	23.646	-45.266	
2.833	23.083	-45.040	
2.866	22.858	-44.928	
2.900	22.633	-44.928	
2.933	22.858	-44.928	
2.966	23.083	-45.040	
3.000	23.421	-45.153	
3.033	24.209	-45.378	
3.066	25.110	-45.716	
3.100	26.011	-45.941	
3.133	27.250	-46.279	
3.166	28.601	-46.504	
3.200	29.952	-46.729	
3.233	31.641	-46.955	
3.266	33.218	-47.067	
3.300	34.681	-47.067	
3.333	36.483	-47.067	
3.366	38.059	-46.955	
3.400	39.636	-46.842	
3.433	40.987	-46.617	
3.466	42.226	-46.392	
3.500	43.352	-46.279	
3.533	44.365	-45.941	
3.566	45.153	-45.716	
3.600	45.716	-45.603	
3.633	46.167	-45.491	
3.666	46.279	-45.378	
3.700	46.279	-45.378	
3.733	46.167	-45.603	
3.766	45.716	-45.716	
3.800	44.928	-45.941	
3.833	44.140	-46.054	
3.866	43.127	-46.279	
3.900	41.888	-46.617	
3.933	40.649	-46.729	
3.966	39.073	-47.067	
4.000	37.609	-47.180	
4.033	36.145	-47.180	
4.066	34.344	-47.180	
4.100	32.767	-47.180	
4.133	31.303	-46.955	
4.166	29.614	-46.842	
4.200	28.376	-46.504	
4.233	27.024	-46.279	
4.266	26.011	-45.941	
4.300	24.885	-45.716	
4.333	24.209	-45.491	
4.366	23.534	-45.153	
4.400	23.196	-45.040	
4.433	22.971	-44.928	
4.466	22.858	-44.928	
4.500	22.971	-44.928	
4.533	23.421	-45.153	
4.566	23.872	-45.266	
4.600	24.660	-45.491	
4.633	25.561	-45.829	
4.666	26.687	-46.166	
