Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	28.714	-46.617	
0.033	28.714	-46.617	
0.066	28.714	-46.617	
0.100	30.065	-46.955	
0.133	31.866	-47.180	
0.166	33.443	-47.292	
0.200	35.244	-47.405	
0.233	36.933	-47.405	
0.266	38.510	-47.292	
0.300	40.086	-47.180	
0.333	41.550	-47.067	
0.366	42.901	-46.729	
0.400	43.915	-46.504	
0.433	45.041	-46.279	
0.466	45.829	-46.054	
0.500	46.392	-45.941	
0.533	46.842	-45.829	
0.566	47.068	-45.829	
0.600	47.068	-45.829	
0.633	46.617	-45.941	
0.666	46.167	-46.054	
0.700	45.491	-46.279	
0.733	44.478	-46.504	
0.766	43.352	-46.842	
0.800	42.113	-47.067	
0.833	40.649	-47.292	
0.866	38.960	-47.405	
0.900	37.271	-47.630	
0.933	35.807	-47.518	
0.966	34.006	-47.518	
1.000	32.429	-47.405	
1.033	30.740	-47.180	
1.066	29.164	-46.842	
1.100	27.813	-46.617	
1.133	26.574	-46.166	
1.166	25.448	-45.941	
1.200	24.547	-45.603	
1.233	23.872	-45.266	
1.266	23.196	-45.040	
1.300	22.858	-44.928	
1.333	22.746	-44.815	
1.366	22.746	-44.815	
1.400	22.971	-44.815	
1.433	23.309	-44.928	
1.466	23.872	-45.153	
1.500	24.660	-45.491	
1.533	25.786	-45.829	
1.566	26.799	-46.166	
1.600	28.038	-46.504	
1.633	29.389	-46.842	
1.666	31.078	-47.067	
1.700	32.542	-47.180	
1.733	34.118	-47.405	
1.766	35.807	-47.405	
1.800	37.384	-47.405	
1.833	38.960	-47.405	
1.866	40.312	-47.180	
1.900	41.663	-47.067	
1.933	43.014	-46.842	
1.966	43.915	-46.617	
2.000	44.816	-46.504	
2.033	45.604	-46.279	
2.066	46.054	-46.166	
2.100	46.392	-46.054	
2.133	46.392	-46.054	
2.166	46.392	-46.054	
2.200	46.054	-46.279	
2.233	45.491	-46.392	
2.266	44.703	-46.504	
2.300	43.802	-46.729	
2.333	42.789	-46.955	
2.366	41.438	-47.180	
2.400	40.086	-47.292	
2.433	38.622	-47.405	
2.466	37.046	-47.518	
2.500	35.582	-47.518	
2.533	33.893	-47.405	
2.566	32.317	-47.292	
2.600	30.853	-47.067	
2.633	29.389	-46.842	
2.666	28.150	-46.504	
2.700	26.912	-46.166	
2.733	25.898	-45.941	
2.766	24.998	-45.603	
2.800	24.209	-45.378	
2.833	23.759	-45.153	
2.866	23.309	-45.040	
2.900	23.083	-44.928	
2.933	23.083	-44.928	
2.966	23.309	-45.040	
3.000	23.759	-45.153	
3.033	24.209	-45.378	
3.066	24.998	-45.603	
3.100	25.898	-45.941	
3.133	26.912	-46.279	
3.166	28.038	-46.504	
3.200	29.389	-46.842	
3.233	30.853	-47.067	
3.266	32.429	-47.292	
3.300	34.006	-47.405	
3.333	35.582	-47.518	
3.366	37.159	-47.518	
3.400	38.735	-47.405	
3.433	40.312	-47.292	
3.466	41.550	-47.067	
3.500	42.789	-46.955	
3.533	43.802	-46.617	
3.566	44.703	-46.504	
3.600	45.491	-46.279	
3.633	45.942	-46.054	
3.666	46.392	-46.054	
3.700	46.392	-46.054	
3.733	46.392	-46.054	
3.766	45.942	-46.054	
3.800	45.379	-46.279	
3.833	44.703	-46.392	
3.866	43.802	-46.617	
3.900	42.789	-46.955	
3.933	41.438	-47.067	
3.966	40.086	-47.292	
4.000	38.622	-47.405	
4.033	37.159	-47.518	
4.066	35.470	-47.518	
4.100	33.781	-47.405	
4.133	32.317	-47.180	
4.166	30.740	-47.067	
4.200	29.277	-46.729	
4.233	28.038	-46.504	
4.266	26.687	-46.166	
4.300	25.673	-45.829	
4.333	24.772	-45.603	
4.366	23.984	-45.378	
4.400	23.534	-45.040	
4.433	23.083	-44.928	
4.466	22.971	-44.815	
4.500	22.971	-44.815	
4.533	23.196	-44.928	
4.566	23.534	-45.153	
4.600	24.209	-45.378	
4.633	24.998	-45.603	
4.666	25.898	-45.941	
4.700	27.024	-46.279	
4.733	28.263	-46.504	
4.766	29.614	-46.842	
4.800	31.303	-47.180	
4.833	32.767	-47.292	
4.866	34.344	-47.518	
4.900	36.145	-47.518	
4.933	37.609	-47.518	
4.966	39.073	-47.405	
5.000	40.649	-47.180	
5.033	42.001	-47.067	
5.066	43.127	-46.729	
5.100	44.140	-46.617	
5.133	45.153	-46.392	
5.166	45.716	-46.279	
5.200	46.279	-46.054	
5.233	46.505	-45.941	
5.266	46.392	-45.941	
5.300	46.392	-46.054	
5.333	45.942	-46.166	
5.366	45.379	-46.392	
5.400	44.590	-46.504	
5.433	43.690	-46.729	
5.466	42.338	-46.955	
5.500	41.212	-47.180	
5.533	39.749	-47.405	
5.566	38.172	-47.518	
5.600	36.708	-47.518	
5.633	34.907	-47.518	
5.666	33.218	-47.405	
5.700	31.754	-47.180	
5.733	30.177	-46.955	
5.766	28.714	-46.729	
5.800	27.475	-46.392	
5.833	26.349	-46.054	
5.866	25.335	-45.716	
5.900	24.435	-45.491	
5.933	23.872	-45.153	
5.966	23.309	-44.928	
6.000	23.083	-44.928	
6.033	23.083	-44.815	
6.066	23.196	-44.928	
6.100	23.421	-45.040	
6.133	23.872	-45.153	
6.166	24.547	-45.491	
6.200	25.335	-45.716	
6.233	26.461	-46.054	
6.266	27.587	-46.392	
6.300	28.826	-46.617	
6.333	30.290	-46.955	
6.366	31.866	-47.180	
6.400	33.330	-47.292	
6.433	34.907	-47.518	
6.466	36.596	-47.518	
6.500	38.059	-47.405	
6.533	39.636	-47.405	
6.566	41.100	-47.180	
6.600	42.338	-46.955	
6.633	43.464	-46.729	
6.666	44.365	-46.617	
6.700	45.153	-46.392	
6.733	45.829	-46.279	
6.766	46.167	-46.054	
6.800	46.392	-46.054	
6.833	46.392	-46.054	
6.866	46.054	-46.166	
6.900	45.604	-46.392	
6.933	44.816	-46.504	
6.966	44.140	-46.729	
7.000	43.014	-46.955	
